wmproductId,MÃ NỘI BỘ,product name,"LOẠI 
SIM","GIÁ 
PEE"
WM-e-SM-T50-7D,WM-e-SM-T50-7D+1,"Singapore, Malaysia, 7 Days, 50GB, 128kbps",ESIM,752000
WM-e-SM-500MB-8D,WM-e-SM-500MB-8D+1,"Singapore, Malaysia, 8 Days, 500MB /day, 128kbps",ESIM,157000
WM-e-SM-1GB-8D,WM-e-SM-1GB-8D+1,"Singapore, Malaysia, 8 Days, 1GB /day, 128kbps",ESIM,189000
WM-e-SM-2GB-8D,WM-e-SM-2GB-8D+1,"Singapore, Malaysia, 8 Days, 2GB /day, 128kbps",ESIM,301000
WM-e-SM-3GB-8D,WM-e-SM-3GB-8D+1,"Singapore, Malaysia, 8 Days, 3GB /day, 128kbps",ESIM,399000
WM-e-SM-MAX-8D,WM-e-SM-MAX-8D+1,"Singapore, Malaysia, 8 Days, Unlimited data /day",ESIM,570000
WM-e-SM-10MAX-8D,WM-e-SM-10MAX-8D+1,"Singapore, Malaysia, 8 Days, Premium unlimited data/day",ESIM,649000
WM-e-SM-500MB-9D,WM-e-SM-500MB-9D+1,"Singapore, Malaysia, 9 Days, 500MB /day, 128kbps",ESIM,166000
WM-e-SM-1GB-9D,WM-e-SM-1GB-9D+1,"Singapore, Malaysia, 9 Days, 1GB /day, 128kbps",ESIM,196000
WM-e-SM-2GB-9D,WM-e-SM-2GB-9D+1,"Singapore, Malaysia, 9 Days, 2GB /day, 128kbps",ESIM,317000
WM-e-SM-3GB-9D,WM-e-SM-3GB-9D+1,"Singapore, Malaysia, 9 Days, 3GB /day, 128kbps",ESIM,416000
WM-e-SM-MAX-9D,WM-e-SM-MAX-9D+1,"Singapore, Malaysia, 9 Days, Unlimited data /day",ESIM,587000
WM-e-SM-10MAX-9D,WM-e-SM-10MAX-9D+1,"Singapore, Malaysia, 9 Days, Premium unlimited data/day",ESIM,666000
WM-e-SM-500MB-10D,WM-e-SM-500MB-10D+1,"Singapore, Malaysia, 10 Days, 500MB /day, 128kbps",ESIM,168000
WM-e-SM-1GB-10D,WM-e-SM-1GB-10D+1,"Singapore, Malaysia, 10 Days, 1GB /day, 128kbps",ESIM,204000
WM-e-SM-2GB-10D,WM-e-SM-2GB-10D+1,"Singapore, Malaysia, 10 Days, 2GB /day, 128kbps",ESIM,333000
WM-e-SM-3GB-10D,WM-e-SM-3GB-10D+1,"Singapore, Malaysia, 10 Days, 3GB /day, 128kbps",ESIM,432000
WM-e-SM-MAX-10D,WM-e-SM-MAX-10D+1,"Singapore, Malaysia, 10 Days, Unlimited data /day",ESIM,604000
WM-e-SM-10MAX-10D,WM-e-SM-10MAX-10D+1,"Singapore, Malaysia, 10 Days, Premium unlimited data/day",ESIM,681000
WM-e-SM-T3-10D,WM-e-SM-T3-10D+1,"Singapore, Malaysia, 10 Days, 3GB, 128kbps",ESIM,119000
WM-e-SM-T5-10D,WM-e-SM-T5-10D+1,"Singapore, Malaysia, 10 Days, 5GB, 128kbps",ESIM,155000
WM-e-SM-T10-10D,WM-e-SM-T10-10D+1,"Singapore, Malaysia, 10 Days, 10GB, 128kbps",ESIM,226000
WM-e-SM-T20-10D,WM-e-SM-T20-10D+1,"Singapore, Malaysia, 10 Days, 20GB, 128kbps",ESIM,390000
WM-e-SM-T30-10D,WM-e-SM-T30-10D+1,"Singapore, Malaysia, 10 Days, 30GB, 128kbps",ESIM,525000
WM-e-SM-T50-10D,WM-e-SM-T50-10D+1,"Singapore, Malaysia, 10 Days, 50GB, 128kbps",ESIM,796000
WM-e-SM-500MB-11D,WM-e-SM-500MB-11D+1,"Singapore, Malaysia, 11 Days, 500MB /day, 128kbps",ESIM,191000
WM-e-SM-1GB-11D,WM-e-SM-1GB-11D+1,"Singapore, Malaysia, 11 Days, 1GB /day, 128kbps",ESIM,250000
WM-e-SM-2GB-11D,WM-e-SM-2GB-11D+1,"Singapore, Malaysia, 11 Days, 2GB /day, 128kbps",ESIM,401000
WM-e-SM-3GB-11D,WM-e-SM-3GB-11D+1,"Singapore, Malaysia, 11 Days, 3GB /day, 128kbps",ESIM,551000
WM-e-SM-MAX-11D,WM-e-SM-MAX-11D+1,"Singapore, Malaysia, 11 Days, Unlimited data /day",ESIM,816000
WM-e-SM-10MAX-11D,WM-e-SM-10MAX-11D+1,"Singapore, Malaysia, 11 Days, Premium unlimited data/day",ESIM,923000
WM-e-SM-500MB-12D,WM-e-SM-500MB-12D+1,"Singapore, Malaysia, 12 Days, 500MB /day, 128kbps",ESIM,199000
WM-e-SM-1GB-12D,WM-e-SM-1GB-12D+1,"Singapore, Malaysia, 12 Days, 1GB /day, 128kbps",ESIM,258000
WM-e-SM-2GB-12D,WM-e-SM-2GB-12D+1,"Singapore, Malaysia, 12 Days, 2GB /day, 128kbps",ESIM,417000
WM-e-SM-3GB-12D,WM-e-SM-3GB-12D+1,"Singapore, Malaysia, 12 Days, 3GB /day, 128kbps",ESIM,568000
WM-e-SM-MAX-12D,WM-e-SM-MAX-12D+1,"Singapore, Malaysia, 12 Days, Unlimited data /day",ESIM,832000
WM-e-SM-10MAX-12D,WM-e-SM-10MAX-12D+1,"Singapore, Malaysia, 12 Days, Premium unlimited data/day",ESIM,940000
WM-e-SM-500MB-13D,WM-e-SM-500MB-13D+1,"Singapore, Malaysia, 13 Days, 500MB /day, 128kbps",ESIM,209000
WM-e-SM-1GB-13D,WM-e-SM-1GB-13D+1,"Singapore, Malaysia, 13 Days, 1GB /day, 128kbps",ESIM,266000
WM-e-SM-2GB-13D,WM-e-SM-2GB-13D+1,"Singapore, Malaysia, 13 Days, 2GB /day, 128kbps",ESIM,433000
WM-e-SM-3GB-13D,WM-e-SM-3GB-13D+1,"Singapore, Malaysia, 13 Days, 3GB /day, 128kbps",ESIM,585000
WM-e-SM-MAX-13D,WM-e-SM-MAX-13D+1,"Singapore, Malaysia, 13 Days, Unlimited data /day",ESIM,849000
WM-e-SM-10MAX-13D,WM-e-SM-10MAX-13D+1,"Singapore, Malaysia, 13 Days, Premium unlimited data/day",ESIM,956000
WM-e-SM-500MB-14D,WM-e-SM-500MB-14D+1,"Singapore, Malaysia, 14 Days, 500MB /day, 128kbps",ESIM,217000
WM-e-SM-1GB-14D,WM-e-SM-1GB-14D+1,"Singapore, Malaysia, 14 Days, 1GB /day, 128kbps",ESIM,275000
WM-e-SM-2GB-14D,WM-e-SM-2GB-14D+1,"Singapore, Malaysia, 14 Days, 2GB /day, 128kbps",ESIM,450000
WM-e-SM-3GB-14D,WM-e-SM-3GB-14D+1,"Singapore, Malaysia, 14 Days, 3GB /day, 128kbps",ESIM,603000
WM-e-SM-MAX-14D,WM-e-SM-MAX-14D+1,"Singapore, Malaysia, 14 Days, Unlimited data /day",ESIM,866000
WM-e-SM-10MAX-14D,WM-e-SM-10MAX-14D+1,"Singapore, Malaysia, 14 Days, Premium unlimited data/day",ESIM,973000
WM-e-SM-500MB-15D,WM-e-SM-500MB-15D+1,"Singapore, Malaysia, 15 Days, 500MB /day, 128kbps",ESIM,226000
WM-e-SM-1GB-15D,WM-e-SM-1GB-15D+1,"Singapore, Malaysia, 15 Days, 1GB /day, 128kbps",ESIM,283000
WM-e-SM-2GB-15D,WM-e-SM-2GB-15D+1,"Singapore, Malaysia, 15 Days, 2GB /day, 128kbps",ESIM,468000
WM-e-SM-3GB-15D,WM-e-SM-3GB-15D+1,"Singapore, Malaysia, 15 Days, 3GB /day, 128kbps",ESIM,617000
WM-e-SM-MAX-15D,WM-e-SM-MAX-15D+1,"Singapore, Malaysia, 15 Days, Unlimited data /day",ESIM,881000
WM-e-SM-10MAX-15D,WM-e-SM-10MAX-15D+1,"Singapore, Malaysia, 15 Days, Premium unlimited data/day",ESIM,989000
WM-e-SM-T3-15D,WM-e-SM-T3-15D+1,"Singapore, Malaysia, 15 Days, 3GB, 128kbps",ESIM,126000
WM-e-SM-T5-15D,WM-e-SM-T5-15D+1,"Singapore, Malaysia, 15 Days, 5GB, 128kbps",ESIM,162000
WM-e-SM-T10-15D,WM-e-SM-T10-15D+1,"Singapore, Malaysia, 15 Days, 10GB, 128kbps",ESIM,239000
WM-e-SM-T20-15D,WM-e-SM-T20-15D+1,"Singapore, Malaysia, 15 Days, 20GB, 128kbps",ESIM,411000
WM-e-SM-T30-15D,WM-e-SM-T30-15D+1,"Singapore, Malaysia, 15 Days, 30GB, 128kbps",ESIM,555000
WM-e-SM-T50-15D,WM-e-SM-T50-15D+1,"Singapore, Malaysia, 15 Days, 50GB, 128kbps",ESIM,839000
WM-e-SM-500MB-16D,WM-e-SM-500MB-16D+1,"Singapore, Malaysia, 16 Days, 500MB /day, 128kbps",ESIM,243000
WM-e-SM-1GB-16D,WM-e-SM-1GB-16D+1,"Singapore, Malaysia, 16 Days, 1GB /day, 128kbps",ESIM,320000
WM-e-SM-2GB-16D,WM-e-SM-2GB-16D+1,"Singapore, Malaysia, 16 Days, 2GB /day, 128kbps",ESIM,537000
WM-e-SM-3GB-16D,WM-e-SM-3GB-16D+1,"Singapore, Malaysia, 16 Days, 3GB /day, 128kbps",ESIM,736000
WM-e-SM-MAX-16D,WM-e-SM-MAX-16D+1,"Singapore, Malaysia, 16 Days, Unlimited data /day",ESIM,1085000
WM-e-SM-10MAX-16D,WM-e-SM-10MAX-16D+1,"Singapore, Malaysia, 16 Days, Premium unlimited data/day",ESIM,1237000
WM-e-SM-500MB-17D,WM-e-SM-500MB-17D+1,"Singapore, Malaysia, 17 Days, 500MB /day, 128kbps",ESIM,252000
WM-e-SM-1GB-17D,WM-e-SM-1GB-17D+1,"Singapore, Malaysia, 17 Days, 1GB /day, 128kbps",ESIM,328000
WM-e-SM-2GB-17D,WM-e-SM-2GB-17D+1,"Singapore, Malaysia, 17 Days, 2GB /day, 128kbps",ESIM,555000
WM-e-SM-3GB-17D,WM-e-SM-3GB-17D+1,"Singapore, Malaysia, 17 Days, 3GB /day, 128kbps",ESIM,752000
WM-e-SM-MAX-17D,WM-e-SM-MAX-17D+1,"Singapore, Malaysia, 17 Days, Unlimited data /day",ESIM,1102000
WM-e-SM-10MAX-17D,WM-e-SM-10MAX-17D+1,"Singapore, Malaysia, 17 Days, Premium unlimited data/day",ESIM,1254000
WM-e-SM-500MB-18D,WM-e-SM-500MB-18D+1,"Singapore, Malaysia, 18 Days, 500MB /day, 128kbps",ESIM,260000
